iter	Passed	Remaining
206	582	2232
207	583	2220
208	583	2209
209	584	2198
210	585	2187
211	585	2177
212	586	2166
213	586	2155
214	587	2145
215	588	2135
216	588	2124
217	589	2114
218	590	2104
219	590	2094
220	591	2084
221	591	2074
222	592	2064
223	593	2054
224	593	2045
225	594	2036
226	595	2026
227	595	2017
228	596	2008
229	597	1999
230	598	1990
231	598	1981
232	599	1973
233	600	1964
234	600	1956
235	601	1947
236	602	1938
237	602	1929
238	603	1920
239	603	1912
240	604	1903
241	605	1895
242	605	1887
243	606	1878
244	607	1870
245	607	1862
246	608	1854
247	609	1846
248	609	1838
249	610	1830
250	610	1823
251	611	1815
252	612	1807
253	613	1800
254	613	1792
255	614	1785
256	615	1778
257	615	1770
258	616	1763
259	617	1756
260	617	1749
261	618	1741
262	619	1734
263	619	1727
264	620	1720
265	620	1713
266	621	1706
267	622	1699
268	623	1693
269	623	1686
270	624	1679
271	624	1672
272	625	1666
273	626	1660
274	627	1653
275	627	1647
276	628	1640
277	629	1634
278	629	1627
279	630	1621
280	631	1615
281	632	1609
282	632	1602
283	633	1596
284	633	1590
285	634	1584
286	635	1578
287	636	1572
288	636	1566
289	637	1560
290	638	1554
291	638	1548
292	639	1543
293	640	1537
294	641	1532
295	642	1527
296	642	1521
297	643	1516
298	644	1510
299	645	1505
300	645	1499
301	646	1494
302	647	1488
303	647	1483
304	648	1477
305	649	1472
306	649	1467
307	651	1462
308	651	1457
309	652	1452
310	653	1447
311	654	1442
312	654	1437
313	655	1432
314	656	1427
315	657	1422
316	657	1417
317	658	1412
318	659	1407
319	659	1402
320	660	1397
321	661	1392
322	661	1387
323	662	1382
324	663	1377
325	664	1373
326	664	1368
327	665	1363
328	666	1359
329	667	1354
330	667	1349
331	668	1345
332	669	1340
333	670	1336
334	671	1332
335	671	1327
336	672	1323
337	673	1318
338	674	1314
339	677	1315
340	681	1316
341	684	1316
342	687	1316
343	690	1316
344	693	1317
345	695	1315
346	697	1313
347	699	1310
348	701	1307
349	702	1304
350	703	1301
351	705	1298
352	707	1296
353	708	1293
354	710	1290
355	711	1287
356	713	1284
357	714	1280
358	715	1277
359	716	1273
360	717	1269
361	718	1266
362	719	1262
363	720	1259
364	722	1256
365	723	1253
366	725	1251
367	726	1247
368	727	1244
369	729	1241
370	730	1238
371	731	1234
372	732	1231
373	733	1228
374	734	1224
375	735	1221
376	736	1217
377	738	1214
378	739	1210
379	739	1207
380	741	1204
381	742	1200
382	742	1196
383	743	1192
384	744	1188
385	745	1185
386	746	1182
387	747	1178
388	748	1175
389	749	1171
390	749	1167
391	750	1164
392	752	1162
393	753	1158
394	754	1154
395	754	1151
396	755	1147
397	756	1144
398	757	1140
399	758	1137
400	759	1133
401	759	1130
402	760	1127
403	761	1123
404	762	1120
405	764	1118
406	766	1117
407	767	1114
408	768	1111
409	769	1107
410	770	1104
411	771	1101
412	772	1097
413	773	1094
414	773	1091
415	774	1087
416	775	1084
417	776	1081
418	777	1078
419	778	1074
420	779	1071
421	780	1068
422	780	1065
423	781	1062
424	782	1058
425	783	1055
426	783	1052
427	784	1048
428	785	1045
429	785	1041
430	786	1038
431	787	1035
432	788	1032
433	788	1028
434	789	1025
435	790	1022
436	790	1018
437	791	1015
438	792	1012
439	792	1009
440	793	1005
441	794	1002
442	794	999
443	795	996
444	796	993
445	797	990
446	797	986
447	798	984
448	799	981
449	800	978
450	800	974
451	801	971
452	802	968
453	803	965
454	803	962
455	804	959
456	805	956
457	805	953
458	806	950
459	807	947
460	807	944
461	808	941
462	809	938
463	809	935
464	810	932
465	811	930
466	812	927
467	813	924
468	813	921
469	814	918
470	815	915
471	816	912
472	816	910
473	817	907
474	818	904
475	818	901
476	819	898
477	820	895
478	820	892
479	821	890
480	822	887
481	823	884
482	823	881
483	824	879
484	825	876
485	826	874
486	827	871
487	827	868
488	828	865
489	829	862
490	830	860
491	830	857
492	831	855
493	832	852
494	832	849
495	833	846
496	834	844
497	834	841
498	835	838
499	836	836
500	836	833
501	837	830
502	838	828
503	838	825
504	839	822
505	840	820
506	841	817
507	841	815
508	842	812
509	843	810
510	844	807
511	844	805
512	845	802
513	846	800
514	847	797
515	847	795
516	848	792
517	849	790
518	849	787
519	850	785
520	851	782
521	851	780
522	852	777
523	853	775
524	854	772
525	855	770
526	855	768
527	856	765
528	857	763
529	858	761
530	859	758
531	859	756
532	860	754
533	861	751
534	862	749
535	863	747
536	863	744
537	864	742
538	865	740
539	866	737
540	867	735
541	867	733
542	868	731
543	869	729
544	870	726
545	871	724
546	872	722
547	873	720
548	873	717
549	874	715
550	875	713
551	876	711
552	877	708
553	877	706
554	878	704
555	879	702
556	880	700
557	881	697
558	881	695
559	882	693
560	883	691
561	884	689
562	885	687
563	886	685
564	887	682
565	887	680
566	888	678
567	889	676
568	890	674
569	891	672
570	891	670
571	892	668
572	893	665
573	894	663
574	895	661
575	896	659
576	897	657
577	898	656
578	900	654
579	901	652
580	902	650
581	902	648
582	903	646
583	904	644
584	905	642
585	906	640
586	907	638
587	908	636
588	909	634
589	910	632
590	911	630
591	912	628
592	914	627
593	915	625
594	916	623
595	917	621
596	918	620
597	919	618
598	920	616
599	921	614
600	922	612
601	923	610
602	924	608
603	925	606
604	926	604
605	927	602
606	928	600
607	929	599
608	930	597
609	931	595
610	932	593
611	934	592
612	935	590
613	936	588
614	937	586
615	938	585
616	941	584
617	942	582
618	943	580
619	944	578
620	945	577
621	946	575
622	947	573
623	948	571
624	949	569
625	950	567
626	951	566
627	952	564
628	953	562
629	954	560
630	955	558
631	956	556
632	957	555
633	958	553
634	959	551
635	960	549
636	961	547
637	961	545
638	962	543
639	963	542
640	964	540
641	965	538
642	965	536
643	966	534
644	967	532
645	968	530
646	969	529
647	970	527
648	971	525
649	972	523
650	973	521
651	974	519
652	974	518
653	976	516
654	976	514
655	977	512
656	978	510
657	978	508
658	979	506
659	980	505
660	981	503
661	981	501
662	982	499
663	983	497
664	984	495
665	984	493
666	985	492
667	986	490
668	987	488
669	988	486
670	988	484
671	989	482
672	990	481
673	991	479
674	992	477
675	992	475
676	993	474
677	994	472
678	995	470
679	996	468
680	997	467
681	997	465
682	998	463
683	999	461
684	1000	459
685	1000	458
686	1001	456
687	1002	454
688	1003	452
689	1004	451
690	1005	449
691	1005	447
692	1006	445
693	1007	444
694	1008	442
695	1008	440
696	1009	438
697	1010	437
698	1011	435
699	1012	433
700	1012	431
701	1013	430
702	1014	428
703	1015	426
704	1015	425
705	1016	423
706	1017	421
707	1018	420
708	1019	418
709	1019	416
710	1020	414
711	1021	413
712	1022	411
713	1023	409
714	1024	408
715	1024	406
716	1025	404
717	1026	403
718	1027	401
719	1027	399
720	1028	398
721	1029	396
722	1030	394
723	1031	393
724	1032	391
725	1032	389
726	1033	388
727	1034	386
728	1035	384
729	1035	383
730	1036	381
731	1037	379
732	1038	378
733	1039	376
734	1039	374
735	1040	373
736	1041	371
737	1042	369
738	1042	368
739	1043	366
740	1044	365
741	1045	363
742	1045	361
743	1046	360
744	1047	358
745	1048	356
746	1048	355
747	1049	353
748	1050	351
749	1051	350
750	1051	348
751	1052	347
752	1053	345
753	1054	343
754	1054	342
755	1055	340
756	1056	339
757	1056	337
758	1057	335
759	1058	334
760	1059	332
761	1059	331
762	1060	329
763	1061	327
764	1062	326
765	1063	324
766	1063	323
767	1064	321
768	1065	320
769	1066	318
770	1066	316
771	1067	315
772	1068	313
773	1069	312
774	1069	310
775	1070	309
776	1071	307
777	1071	305
778	1072	304
779	1073	302
780	1074	301
781	1074	299
782	1075	298
783	1076	296
784	1077	295
785	1078	293
786	1078	292
787	1079	290
788	1080	288
789	1081	287
790	1081	285
791	1082	284
792	1083	282
793	1083	281
794	1084	279
795	1085	278
796	1086	276
797	1086	275
798	1087	273
799	1088	272
800	1088	270
801	1089	269
802	1090	267
803	1091	266
804	1092	264
805	1092	263
806	1093	261
807	1094	260
808	1095	258
809	1096	257
810	1097	255
811	1097	254
812	1098	252
813	1099	251
814	1099	249
815	1100	248
816	1101	246
817	1102	245
818	1102	243
819	1103	242
820	1104	240
821	1104	239
822	1105	237
823	1106	236
824	1107	234
825	1108	233
826	1108	231
827	1109	230
828	1110	229
829	1111	227
830	1112	226
831	1112	224
832	1113	223
833	1114	221
834	1115	220
835	1115	218
836	1116	217
837	1117	215
838	1117	214
839	1118	213
840	1119	211
841	1120	210
842	1121	208
843	1121	207
844	1122	205
845	1123	204
846	1124	203
847	1124	201
848	1125	200
849	1126	198
850	1126	197
851	1127	195
852	1128	194
853	1129	193
854	1129	191
855	1130	190
856	1131	188
857	1132	187
858	1132	185
859	1133	184
860	1134	183
861	1135	181
862	1136	180
863	1137	178
864	1137	177
865	1138	176
866	1139	174
867	1140	173
868	1141	172
869	1141	170
870	1142	169
871	1143	167
872	1143	166
873	1144	165
874	1145	163
875	1146	162
876	1146	160
877	1147	159
878	1148	158
879	1149	156
880	1149	155
881	1150	153
882	1151	152
883	1152	151
884	1152	149
885	1153	148
886	1154	147
887	1154	145
888	1155	144
889	1156	142
890	1157	141
891	1157	140
892	1158	138
893	1159	137
894	1160	136
895	1160	134
896	1161	133
897	1162	132
898	1163	130
899	1164	129
900	1165	128
901	1165	126
902	1166	125
903	1167	123
904	1168	122
905	1168	121
906	1169	119
907	1170	118
908	1170	117
909	1171	115
910	1172	114
911	1173	113
912	1173	111
913	1174	110
914	1175	109
915	1176	107
916	1177	106
917	1177	105
918	1178	103
919	1179	102
920	1180	101
921	1181	99
922	1181	98
923	1182	97
924	1183	95
925	1183	94
926	1184	93
927	1185	91
928	1185	90
929	1186	89
930	1187	88
931	1188	86
932	1188	85
933	1189	84
934	1190	82
935	1191	81
936	1191	80
937	1192	78
938	1193	77
939	1194	76
940	1195	74
941	1195	73
942	1196	72
943	1197	71
944	1198	69
945	1198	68
946	1199	67
947	1200	65
948	1200	64
949	1201	63
950	1202	61
951	1203	60
952	1204	59
953	1204	58
954	1205	56
955	1206	55
956	1207	54
957	1207	52
958	1208	51
959	1209	50
960	1210	49
961	1210	47
962	1211	46
963	1212	45
964	1213	44
965	1214	42
966	1214	41
967	1215	40
968	1216	38
969	1217	37
970	1217	36
971	1218	35
972	1219	33
973	1220	32
974	1220	31
975	1221	30
976	1222	28
977	1223	27
978	1224	26
979	1224	24
980	1225	23
981	1226	22
982	1227	21
983	1227	19
984	1228	18
985	1229	17
986	1230	16
987	1231	14
988	1232	13
989	1232	12
990	1233	11
991	1234	9
992	1235	8
993	1235	7
994	1236	6
995	1237	4
996	1238	3
997	1239	2
998	1240	1
999	1241	0
